OBJECTID,poly_SourceOID,poly_IncidentName,poly_FeatureCategory,poly_MapMethod,poly_GISAcres,poly_CreateDate,poly_DateCurrent,poly_PolygonDateTime,poly_IRWINID,poly_FORID,poly_Acres_AutoCalc,poly_SourceGlobalID,poly_Source,attr_SourceOID,attr_ABCDMisc,attr_ADSPermissionState,attr_CalculatedAcres,attr_ContainmentDateTime,attr_ControlDateTime,attr_CreatedBySystem,attr_IncidentSize,attr_DiscoveryAcres,attr_DispatchCenterID,attr_EstimatedCostToDate,attr_FinalAcres,attr_FFReportApprovedByTitle,attr_FFReportApprovedByUnit,attr_FFReportApprovedDate,attr_FireBehaviorGeneral,attr_FireBehaviorGeneral1,attr_FireBehaviorGeneral2,attr_FireBehaviorGeneral3,attr_FireCause,attr_FireCauseGeneral,attr_FireCauseSpecific,attr_FireCode,attr_FireDepartmentID,attr_FireDiscoveryDateTime,attr_FireMgmtComplexity,attr_FireOutDateTime,attr_FireStrategyConfinePercent,attr_FireStrategyFullSuppPrcnt,attr_FireStrategyMonitorPercent,attr_FireStrategyPointZonePrcnt,attr_FSJobCode,attr_FSOverrideCode,attr_GACC,attr_ICS209ReportDateTime,attr_ICS209RptForTimePeriodFrom,attr_ICS209RptForTimePeriodTo,attr_ICS209ReportStatus,attr_IncidentManagementOrg,attr_IncidentName,attr_IncidentShortDescription,attr_IncidentTypeCategory,attr_IncidentTypeKind,attr_InitialLatitude,attr_InitialLongitude,attr_InitialResponseAcres,attr_InitialResponseDateTime,attr_IrwinID,attr_IsFireCauseInvestigated,attr_IsFireCodeRequested,attr_IsFSAssisted,attr_IsMultiJurisdictional,attr_IsReimbursable,attr_IsTrespass,attr_IsUnifiedCommand,attr_LocalIncidentIdentifier,attr_ModifiedBySystem,attr_PercentContained,attr_PercentPerimToBeContained,attr_POOCity,attr_POOCounty,attr_POODispatchCenterID,attr_POOFips,attr_POOJurisdictionalAgency,attr_POOJurisdictionalUnit,attr_POOJurisdictUnitParentUnit,attr_POOLandownerCategory,attr_POOLandownerKind,attr_POOLegalDescPrincipalMerid,attr_POOLegalDescQtr,attr_POOLegalDescQtrQtr,attr_POOLegalDescRange,attr_POOLegalDescSection,attr_POOLegalDescTownship,attr_POOPredictiveServiceAreaID,attr_POOProtectingAgency,attr_POOProtectingUnit,attr_POOState,attr_PredominantFuelGroup,attr_PredominantFuelModel,attr_PrimaryFuelModel,attr_SecondaryFuelModel,attr_TotalIncidentPersonnel,attr_UniqueFireIdentifier,attr_FORID,attr_WFDSSDecisionStatus,attr_EstimatedFinalCost,attr_OrganizationalAssessment,attr_StratDecisionPublishDate,attr_CreatedOnDateTime_dt,attr_ModifiedOnDateTime_dt,attr_Source,attr_IsCpxChild,attr_CpxName,attr_CpxID,attr_SourceGlobalID,GlobalID,SHAPE_Length,SHAPE_Area
85,,LINDELL RD / EL TORO RD,Wildfire Daily Fire Perimeter,Hand Sketch,0.01,2022/05/15 02:46:47+00,2022/05/15 20:15:28+00,2022/05/15 07:46:14+00,{372AA56F-5803-4095-9226-CB1A471ED42E},,0.897007188517752,{15FB9D7D-C33D-4095-9861-3BD82F047675},2022 NIFS,23833839,,DEFAULT,,2022/05/15 03:15:57+00,,cfcad,0.82,0.01,CARRCC,,,,,,,,,,Undetermined,,,PM04,,2022/05/15 02:46:15+00,,,,,,,PN,1522,OSCC,,,,,,TORO,,WF,FI,33.730003,-117.330945,,,{372AA56F-5803-4095-9226-CB1A471ED42E},,0,1,1,1,0,,069516,cfcad,,,,Riverside,CARRCC,06065,,,,Private,Private,,,,,,,SC08,CAL FIRE,CARRU,US-CA,,,,,,2022-CARRU-069516,,No Decision,,,,2022/05/15 02:46:35+00,2022/05/15 08:13:15+00,IRWIN,0,,,{D265BF9D-D2B4-40B1-AC6E-3642FB0E7880},{3C7E1EE9-6B8C-430E-872B-6A62F379B6D3},0.00241905612084391,-3.53137701493596e-07
86,,Big Butte,Wildfire Daily Fire Perimeter,Mixed Methods,22.4903679872941,2021/07/31 16:02:34+00,2021/08/03 15:43:56+00,,{4F5C3A1F-2166-4099-B557-FE151A46097A},,22.4902829166751,{A26EBE84-F007-4606-AF3C-CCB5ABF883C7},2021 NIFS,20753597,,CERTIFIED,,2021/07/31 19:02:59+00,2021/07/31 21:04:59+00,wildcad,22.47,5,NVEIC,,,,,2021/08/16 17:56:52+00,,,,,Natural,Lightning,,N7DD,,2021/07/30 23:56:00+00,,2021/07/31 21:04:59+00,,,,,PD,1522,GBCC,,,,,,Big Butte,,WF,FI,41.15207,-116.5866,5,2021/07/31 15:03:00+00,{4F5C3A1F-2166-4099-B557-FE151A46097A},,0,1,0,0,0,,010212,INFORM_Inspector,,,,Elko,NVEIC,32007,BLM,NVEKD,,BLM,Federal,,,,,,,GB17,BLM,NVEKD,US-NV,Brush,SH5,,,,2021-NVEKD-010212,,No Decision,,,,2021/07/31 15:41:39+00,2021/08/16 17:56:53+00,IRWIN,0,,,{4F5C3A1F-2166-4099-B557-FE151A46097A},{2DEAE922-5D59-47F7-A06A-FFC91AD0BC02},0.0220767684757013,-9.76320453772356e-06
88,3927,Ute,Wildfire Daily Fire Perimeter,Mixed Methods,0.62,2021/05/04 22:51:02+00,2021/05/04 22:51:02+00,,{0D0FCF79-136F-403B-A02E-2CE960C6271A},,0.621539924044839,{6B4877B0-7C06-4EC1-836B-90CE7A7B7450},2020 NIFS,17346788,,CERTIFIED,,2020/12/03 01:30:00+00,2020/12/03 01:30:00+00,wildcad,0.6,0.6,NVLIC,,,,,,,,,,Human,Other Human Cause,,NR1G,,2020/12/02 23:35:00+00,,2020/12/06 06:00:00+00,,,,,,,GBCC,,,,,,UTE,,WF,FI,36.58365,-114.6522,,2020/12/02 23:42:00+00,{0D0FCF79-136F-403B-A02E-2CE960C6271A},,0,1,0,0,0,,501911,INFORM_Inspector,,,,Clark,NVLIC,32003,BIA,UTSPA,,BIA,Federal,,,,,,,GB24,BLM,NVSND,US-NV,Grass,GR1,,,,2020-NVSND-501911,,No Decision,,,,2020/12/03 01:32:18+00,2021/08/02 23:57:53+00,IRWIN,0,,,{0D0FCF79-136F-403B-A02E-2CE960C6271A},{CCF5376F-535D-44A4-9685-E53F7D0B659E},0.00557004552225353,-2.53174679236752e-07
91,,Shell,Wildfire Daily Fire Perimeter,Mixed Methods,1700,2021/06/28 13:35:12+00,2021/09/07 16:12:48+00,2021/06/28 13:30:00+00,{DE2D736E-66E1-4436-A314-1197C122B70D},,1828.02835587771,{0D6894FF-70E6-4FAA-B40B-E8DE69445397},2021 NIFS,20202404,,DEFAULT,,,,IROC,1984,,CAKRCC,0,,,,,Minimal,Spotting,Running,,,,,N3ZH,,2021/06/27 20:06:59+00,Type 4 Incident,,0,100,0,0,,,OSCC,2021/07/01 00:45:00+00,2021/06/30 12:59:59+00,2021/07/01 00:45:00+00,F,Type 4 IC,SHELL,South of Metler on the east side of I-5,WF,FI,,,,,{DE2D736E-66E1-4436-A314-1197C122B70D},,0,1,0,0,0,0,029463,ics209,90,100,,Kern,CAKRCC,06029,,,,Private,Private,,,,,,,SC09,C&L,CAKRN,US-CA,,,Short Grass (1 foot),Brush (2 feet),21,2021-CAKRN-029463,,No Decision,,,,2021/06/27 20:22:00+00,2021/07/01 01:12:07+00,IRWIN,0,,,{DE2D736E-66E1-4436-A314-1197C122B70D},{5AB8DC57-85AA-4307-8777-D3647ECA69E9},0.149001110701907,-0.000729600153329466
96,,Well,Wildfire Daily Fire Perimeter,Mixed Methods,0.01,2021/07/17 00:43:48+00,2021/07/21 22:49:12+00,2021/07/16 08:00:00+00,{D7C8EF5E-D334-46E8-B3C3-55B93C44888B},,0.000708600834652591,{578A980E-1AC1-4CD9-8872-754BFB17F061},2021 NIFS,20478407,,CERTIFIED,,2021/07/17 01:10:00+00,2021/07/17 01:11:00+00,wildcad,0.1,0.1,NVLIC,,,,,,,,,,Human,Other Human Cause,,N538,,2021/07/16 21:19:00+00,,2021/07/19 05:00:00+00,,,,,,,GBCC,,,,,,WELL,,WF,FI,36.09727,-115.018,0.1,,{D7C8EF5E-D334-46E8-B3C3-55B93C44888B},,0,1,0,0,0,,501089,INFORM_Inspector,,,,Clark,NVLIC,32003,,,,Private,Private,,,,,,,GB24,C&L,NVCLRX,US-NV,,,,,,2021-NVCLRX-501089,,No Decision,,,,2021/07/16 23:51:03+00,2021/08/03 01:10:01+00,IRWIN,0,,,{D7C8EF5E-D334-46E8-B3C3-55B93C44888B},{E445ED60-427D-41AA-9004-FC8A35864799},0.000148265286170314,-2.86979499018639e-10
99,3492,Sloan 14,Wildfire Daily Fire Perimeter,Phone/Tablet,1.99934983812182,2021/05/04 22:50:51+00,2021/05/04 22:50:51+00,2020/06/20 19:28:55+00,{B9047EDB-FD72-4EBC-B8A8-862266470EB5},,1.99934229933151,{ECBB04B0-B3B9-4380-AA7E-C0F68FCF195C},2020 NIFS,9890780,,CERTIFIED,,2020/06/20 20:16:59+00,2020/06/20 20:35:59+00,wildcad,2,2,NVLIC,,,,,,,,,,Human,Firearms/Weapons,Ammunition,M67V,,2020/06/20 18:04:00+00,,2020/06/22 18:59:59+00,,,,,,,GBCC,,,,,,SLOAN 14,,WF,FI,35.87953,-115.2126,2,2020/06/20 18:04:59+00,{B9047EDB-FD72-4EBC-B8A8-862266470EB5},,0,1,0,0,0,,500667,INFORM_Inspector,,,,Clark,NVLIC,32003,BLM,NVSND,,BLM,Federal,,,,,,,GB24,BLM,NVSND,US-NV,Grass,GR1,,,,2020-NVSND-500667,,No Decision,,,,2020/06/20 18:30:03+00,2021/01/27 20:45:40+00,IRWIN,0,,,{B9047EDB-FD72-4EBC-B8A8-862266470EB5},{460E8A86-BAED-431A-863D-80961122D0A1},0.00496285951739929,-8.07528797902856e-07
106,6100,INKOPAH,Wildfire Daily Fire Perimeter,Auto-generated,0.1,2021/05/04 22:51:24+00,2021/05/04 22:51:24+00,2021/01/16 03:11:39+00,{6D7B9AF9-250F-4866-9FDC-4E2C5471B3C2},,0.184979531805353,{E7F5ECD5-D96D-4FDD-A7D9-5225E54C8F0C},2021 NIFS,18311988,,DEFAULT,,,,cfcad,,0.1,CAMVIC,,,,,,,,,,Unknown,,,NS65,,2021/01/15 20:11:39+00,,,,,,,,,OSCC,,,,,,INKOPAH,,WF,FI,32.637513,-116.113672,,,{6D7B9AF9-250F-4866-9FDC-4E2C5471B3C2},,0,,,,,,001104,INFORM_Inspector,,,,San Diego,CAMVIC,06073,,,,Private,Private,,,,,,,SC11,CDF,CAMVU,US-CA,,,,,,2021-CAMVU-001104,,No Decision,,,,2021/01/15 20:49:52+00,2021/01/16 16:07:08+00,IRWIN,0,,,{6D7B9AF9-250F-4866-9FDC-4E2C5471B3C2},{770EAFDE-7E2E-486C-BB3D-6A05AE95CAE6},0.00178382848180609,-7.19386674104555e-08
119,,LAC-194142,Wildfire Daily Fire Perimeter,Hand Sketch,,2021/05/07 04:52:25+00,2021/05/07 04:52:25+00,2021/05/07 04:52:25+00,{16D3EDA1-AAC8-4902-9B67-D81D4856A8EF},,0.00718658576477393,{1BA86D70-9F1B-482D-B1A4-9E186CCDBF08},2020 NIFS,10405981,,DEFAULT,,,,lacocad,0.1,0.1,CALACC,,,,,,,,,,Human,Equipment,Motor Vehicle,,,2020/07/03 04:06:32+00,,2020/07/03 04:34:59+00,,,,,,,OSCC,,,,,,LAC-194142,,WF,FI,34.10187,-118.65998,,2020/07/03 04:24:00+00,{16D3EDA1-AAC8-4902-9B67-D81D4856A8EF},1,0,,,,,,194142,INFORM_Inspector,,,,Los Angeles,CALACC,06037,C&L,CALAC,,State,Other,,,,,,,SC08,C&L,CALAC,US-CA,Brush,SH7,,,,2020-CALAC-194142,,No Decision,,,,2020/07/03 04:16:39+00,2021/05/07 04:46:41+00,IRWIN,0,,,{16D3EDA1-AAC8-4902-9B67-D81D4856A8EF},{8ADE6100-5810-4CB3-99A2-0384197989C7},0.000190394982446747,-2.84118630791682e-09
121,3562,Sloan 20,Wildfire Daily Fire Perimeter,Mixed Methods,0.473539257100914,2021/05/04 22:50:56+00,2021/05/04 22:50:56+00,,{9CB12AF6-4AA1-48C0-9D5B-45A47077F358},,0.473537033384802,{7C6F9D15-3224-4796-8A99-22B29A29D373},2020 NIFS,10509982,,CERTIFIED,,2020/07/05 03:24:59+00,2020/07/05 03:24:59+00,wildcad,0.5,0.3,NVLIC,,,,,,,,,,Human,Firearms/Weapons,,M8LN,,2020/07/05 02:00:00+00,,2020/07/08 05:00:00+00,,,,,,,GBCC,,,,,,SLOAN 20,,WF,FI,35.87949,-115.2125,0.25,2020/07/05 02:00:00+00,{9CB12AF6-4AA1-48C0-9D5B-45A47077F358},,0,1,0,0,0,,500780,INFORM_Inspector,,,,Clark,NVLIC,32003,BLM,NVSND,,BLM,Federal,,,,,,,GB24,BLM,NVSND,US-NV,Grass,GR1,,,,2020-NVSND-500780,,No Decision,,,,2020/07/05 03:11:51+00,2021/01/27 20:33:45+00,IRWIN,0,,,{9CB12AF6-4AA1-48C0-9D5B-45A47077F358},{8AC3FE93-5913-4C41-BDC8-FFF1D8AE4BF3},0.00252554283938214,-1.91268930270802e-07
126,4240,"Butte, Tehama, Glenn Lightning Complex",Wildfire Daily Fire Perimeter,Mixed Methods,93.7556451617275,2021/05/04 22:51:16+00,2021/05/04 22:51:16+00,,{CC8C44ED-C180-4AE1-BA8C-B6387C32C1B4},,93.7552742639962,{8CC5769A-CB8F-4C55-9A2D-11A8FDF13CD9},2020 NIFS,13243988,,DEFAULT,,,,cfcad,140,0.1,CABTCC,,,,,,,,,,Unknown,,,,,2020/08/17 19:53:02+00,,,,,,,,,ONCC,,,,,,1-2,,WF,FI,39.964,-121.511117,,,{CC8C44ED-C180-4AE1-BA8C-B6387C32C1B4},,0,,,,,0,009717,cfcad,62,62,,Butte,CABTCC,06007,,,,Private,Private,,,,,,,NC07,,CABTU,US-CA,,,,,,2020-CABTU-009717,,No Decision,,,,2020/08/17 19:53:06+00,2020/11/04 00:01:13+00,IRWIN,1,BUTTE/TEHAMA/GLENN COMPLEX,{9762A2CD-8562-404E-84FE-C58A9CDFBB9D},{CC8C44ED-C180-4AE1-BA8C-B6387C32C1B4},{8C9DF17F-7EDA-4D2A-9ACF-04E2627BFF49},0.0275382653693677,-3.99970784864038e-05
