,geoid_o,geoid_d,lng_o,lat_o,lng_d,lat_d,date,visitor_flows,pop_flows
19307,6037,6037,-118.26101696970831,34.19800147820897,-118.26101696970831,34.19800147820897,2019-07-23,1034193,20735310.0
19308,6037,6059,-118.26101696970831,34.19800147820897,-117.77614624417816,33.676913155110306,2019-07-23,28948,580400.0
19309,6037,6065,-118.26101696970831,34.19800147820897,-115.99384915368177,33.74368033412086,2019-07-23,5916,118614.0
19310,6037,6071,-118.26101696970831,34.19800147820897,-116.17846073060556,34.84143828214598,2019-07-23,12652,253669.0
19510,6037,6001,-118.26101696970831,34.19800147820897,-121.91788544949588,37.650546842122445,2019-07-23,703,14094.0
19511,6037,6017,-118.26101696970831,34.19800147820897,-120.52464692761319,38.778737973176135,2019-07-23,294,5894.0
19512,6037,6027,-118.26101696970831,34.19800147820897,-117.41078968308284,36.511126808060865,2019-07-23,185,3709.0
19513,6037,6029,-118.26101696970831,34.19800147820897,-118.72990002272377,35.34284876287472,2019-07-23,1905,38194.0
19514,6037,6047,-118.26101696970831,34.19800147820897,-120.71768800001988,37.19187047087785,2019-07-23,171,3428.0
19515,6037,6053,-118.26101696970831,34.19800147820897,-121.3089015574753,36.23977439726873,2019-07-23,446,8942.0
19516,6037,6073,-118.26101696970831,34.19800147820897,-116.77020744456195,33.028203198952994,2019-07-23,4332,86855.0
19518,6037,6077,-118.26101696970831,34.19800147820897,-121.2714080737995,37.93474445570171,2019-07-23,246,4932.0
19519,6037,6081,-118.26101696970831,34.19800147820897,-122.3556631985105,37.43620973176126,2019-07-23,524,10506.0
19520,6037,6085,-118.26101696970831,34.19800147820897,-121.69627886046631,37.2324840315687,2019-07-23,878,17603.0
19521,6037,6087,-118.26101696970831,34.19800147820897,-122.00978740939895,37.02160590618132,2019-07-23,219,4390.0
19522,6037,6093,-118.26101696970831,34.19800147820897,-122.54036776276807,41.59268663385888,2019-07-23,52,1042.0
19523,6037,6095,-118.26101696970831,34.19800147820897,-121.9400068971127,38.26691911759816,2019-07-23,101,2025.0
